State,LGA,Ward,PU-Code,PU-Name,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File
OYO,IBARAPA NORTH,OFIKI I,30-13-07-020,OPOMU VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI I,30-13-07-021,SANGOTE VILLAGE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,OFIKI II,30-13-08-011,ABULE ELEDE,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-001,MAGBAGBE'S SHOP FRONTAGE I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-002,MAGBAGBE'S SHOP FRONTAGE II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-003,MAGBAGBE'S SHOP FRONTAGE III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-004,MAGBAGBE'S SHOP FRONTAGE IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-005,COMMUNITY HALL I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-007,COMMUNITY HALL III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-008,COMMUNITY HALL IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-009,COMMUNITY HALL V,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-010,BAALE IKOGBA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-011,BAALE IKOGBA II,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-012,BAALE IKOGBA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-013,BAALE IKOGBA IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-014,BAALE ANA I,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-016,BAALE ANA III,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IBARAPA NORTH,TAPA I,30-13-09-017,BAALE ANA IV,0,0,0,0,1,0,1,1,0,0,0,0,0,
OYO,IDO,BATAKE/IDI-IYA,30-14-05-003,"OPEN SPACE, BATAKE",0,0,0,0,1,0,1,1,0,0,0,0,0,
